기준년월,지역명,읍면동명,순서,대상구분_상,대상구분_하,합계,본인,유족
2025-03,세종특별자치시,반곡동,24,지원대상자,지원순직공무원,0,0,0
2025-03,세종특별자치시,반곡동,25,지원대상자,지원공상공무원,0,0,0
2025-03,세종특별자치시,반곡동,26,보훈보상대상자,재해사망군경,0,0,0
2025-03,세종특별자치시,반곡동,27,보훈보상대상자,재해부상군경,3,3,0
2025-03,세종특별자치시,반곡동,28,보훈보상대상자,재해사망공무원,0,0,0
2025-03,세종특별자치시,반곡동,29,보훈보상대상자,재해부상공무원,0,0,0
2025-03,세종특별자치시,반곡동,30,참전유공자,6·25전쟁,2,2,0
2025-03,세종특별자치시,반곡동,31,참전유공자,월남전쟁,13,13,0
2025-03,세종특별자치시,반곡동,32,참전유공자,6.25및월남전쟁,0,0,0
2025-03,세종특별자치시,반곡동,33,고엽제후유의증·고엽제후유증2세,고엽제후유의증,4,4,0
2025-03,세종특별자치시,반곡동,34,고엽제후유의증·고엽제후유증2세,고엽제후유증2세,0,0,0
2025-03,세종특별자치시,반곡동,35,5.18민주유공자,5·18사망자 또는 행불자,0,0,0
2025-03,세종특별자치시,반곡동,36,5.18민주유공자,5·18부상자,0,0,0
2025-03,세종특별자치시,반곡동,37,5.18민주유공자,5·18희생자,0,0,0
